Costo_Producci�n Graiman,Margen_Operativo,Ingresos_Mensuales,Gasto_Log�stico,Stock_Disponible,Rotaci�n_Inventario,Productos_M�s_Vendidos,Nivel_Reorden,Horas_Trabajadas,�ndice_Capacitaci�n,Productividad_Operarios,Tasa_Ausentismo,Lead_Source,Tasa_Conversi�n,Valor_Compra_Promedio,Frecuencia_Compra,Tiempo_Entrega_Proveedor,Cumplimiento_Entregas,Costo_Transporte,Retrasos_Producci�n,Segmento_Cliente,Regi�n_Cliente,Antig�edad_Cliente,Nivel_Satisfacci�n,Defectos_Producci�n,Tiempo_Parada_M�quina,Tipo_Producto,Fecha_Registro,Sentimiento_Promedio,Volumen_Menciones,Interacci�n_Posts,Tendencias_B�squeda,�ndice_Demanda_Construcci�n,Precios_Materia_Prima,Tendencia_Precios_Competencia,Tipo_Cambio_USD,Participaci�n_Mercado,Precio_Promedio_Competencia,Nuevos_Lanzamientos_Competencia,Variaci�n_Demanda_Zona,Crecimiento_PIB,�ndice_Constructivo,Inversi�n_Obra_P�blica,Inflaci�n_Mensual,Tendencias_Construcci�n_Web,B�squedas_Por_Cer�mica,Reviews_Online,Rango_Precios_Mercado,Nombre_Cliente
19.02553743,0.197501341,116774.7111,2701.140553,2125,7.612282116,Porcelanato,134.5131191,79.5493219,0.442955642,96.6445209,0.071658953,Instagram,0.0126866,63.11531,9,7.496020521,99.10246535,187.2461244,5,Hogar,Loja,4,4.905732994,29,6.033528423,Cer�mica,2023-01-01 0:00:00,-0.284921779,1260,944,86.89876334,25.97629031,7.959991344,-4.024261473,1.081526242,52.01677285,30.56587369,8,16.62640668,-1.038876725,111.8341246,15588.35755,0.816882669,20.64910353,7592,2.475541566,19.77289932,Carlos Calle
37.14687381,0.256685607,114788.0886,5946.299564,1627,1.222312893,Azulejo,286.2613011,174.6639692,0.009183096,94.87428522,0.074864099,Referido,0.187874871,754.199043,11,19.439587,99.25374908,379.8428256,2,Mayorista,Cuenca,7,4.242091884,21,2.28588877,Cer�mica,2023-01-02 0:00:00,0.180203212,2286,181,72.10880771,66.85169928,19.11743566,-3.12254896,1.038252292,55.46304041,25.19692152,8,6.615378379,-4.936025722,145.4640797,32229.83195,0.896646981,29.59265074,10771,3.164848919,16.2657331,Elena Cordero
5.560558764,0.081678286,97028.60052,6476.185066,3097,8.97140671,Porcelanato,129.5091367,63.76782702,0.43991501,52.302949,0.027977368,Web,0.091733401,138.462397,4,2.452129202,84.38927812,461.8201019,2,Constructor,Azuay,6,3.642547741,13,0.423298908,Gres,2023-01-03 0:00:00,0.505029433,3090,1946,95.61522383,55.70111473,18.7383983,-2.817465523,1.090012424,44.57117467,34.67746926,7,-8.181488506,3.16995237,88.99518584,48591.58922,0.654332465,27.91304712,15705,2.535511355,59.67163133,Carolina Salinas
34.42308994,0.262940024,14382.13037,7766.447893,804,7.651520273,Porcelanato,330.7132834,133.2714779,0.470105182,73.33117606,0.061607213,Instagram,0.08114857,580.1816831,6,4.322714019,94.3574909,185.2440846,1,Hogar,Azuay,9,4.639892674,28,4.389833289,Porcelanato,2023-01-04 0:00:00,-0.013683321,1491,1446,58.21419967,52.07815174,25.18372104,1.775548489,1.072164762,6.919685376,47.64613445,14,1.143278752,-4.617401054,126.0305899,37111.83799,0.108465769,72.10679447,17999,2.578486061,15.55460225,Luis P�rez
30.85064647,0.233635752,188352.6219,9883.537744,3367,9.930254821,Azulejo,143.6200543,49.39847429,0.946113164,74.13952148,0.0671298,Sala de Ventas,0.133385786,677.2910409,11,3.767472783,83.25030156,359.9825832,9,Hogar,Cuenca,2,3.403638614,48,2.05622143,Gres,2023-01-05 0:00:00,-0.280290895,2349,1203,44.32476198,1.517558593,27.58382586,-2.275208052,1.09997397,28.58616721,58.67424116,12,-5.151294176,1.2238825,60.53039443,38957.50561,0.203744484,88.95529398,151,1.193015684,29.71853096,Mar�a Quito
6.707282421,0.150678169,185050.4305,5842.431858,486,4.766929485,Porcelanato,195.7269069,158.0782017,0.112004021,98.83806591,0.089204456,Sala de Ventas,0.151053159,132.4908975,3,10.71657631,82.51667111,353.4876057,0,Mayorista,Guayas,18,4.85922578,26,6.046405602,Cer�mica,2023-01-06 0:00:00,0.305751438,579,1641,55.32485934,71.20355062,17.06594313,-1.499479062,1.012122875,54.49325373,57.60678755,9,19.11334686,0.515677934,54.67526512,36631.39319,0.175737776,43.36344172,4628,1.952300714,41.54809533,Mar�a Guzm�n
26.58727412,0.110208641,65333.07776,2833.88896,2382,2.564672115,Cer�mica,275.3342368,177.2673059,0.629408832,95.02620429,0.064886814,Facebook,0.213793732,525.9140384,2,6.478452586,92.47197676,131.3873495,5,Mayorista,Cuenca,4,4.960853683,28,4.790771334,Cer�mica,2023-01-07 0:00:00,0.010052211,2356,1277,64.54636027,44.47418857,7.947343655,-0.25857645,1.023335682,15.31879636,30.03319692,2,-9.055311469,-1.73316657,105.9445518,24385.98345,0.342451038,75.00427085,9300,4.314623746,54.66725129,Marco Quito
5.674874165,0.130968122,193826.1698,6236.392914,2931,1.153198667,Cer�mica,368.6492267,79.51012747,0.200634607,92.54374348,0.093859852,Facebook,0.189360196,690.4403081,8,5.182406634,87.55952841,393.6140381,3,Mayorista,Guayas,17,3.935869644,3,3.620397473,Porcelanato,2023-01-08 0:00:00,-0.961463695,1201,288,82.54571445,66.74945117,5.313253516,3.630653969,1.014604378,23.21821836,24.13536539,13,-3.654105085,-3.083244153,115.8764083,8967.379427,0.915154665,10.53944715,1049,2.508963036,27.81213772,Luis Torres
30.36977496,0.144858962,79914.08614,5829.463283,2638,9.747523302,Azulejo,344.4392872,105.9356811,0.898875009,79.27506313,0.086789274,Web,0.190991025,174.4781199,8,13.99778042,89.60314626,62.10592991,2,Hogar,Azuay,17,3.621873763,43,9.708936619,Cer�mica,2023-01-09 0:00:00,-0.446166435,1405,1449,77.22221778,89.3482094,8.641847637,-3.240416271,1.062281659,6.448804584,14.08326504,6,11.1583428,4.930657008,107.8130967,13964.76232,0.829567083,55.74089386,18135,3.649801379,48.23131819,Sof�a Guzm�n
24.33381972,0.25402011,50096.56107,1263.392917,3234,7.666537063,Porcelanato,426.2591263,128.9401106,0.840163663,58.41483625,0.033494154,Instagram,0.253528756,152.9167498,5,13.08323222,82.28308921,463.1560035,2,Mayorista,Quito,16,2.84670913,49,7.4622467,Cer�mica,2023-01-10 0:00:00,0.380226318,2385,981,7.544906835,91.18099229,20.23863773,4.99681718,1.07765774,56.39344274,40.89385201,3,-4.314237915,4.071432089,122.2191429,15675.84432,0.482379228,91.0902319,11065,3.816410614,23.95728266,Miguel P�rez
